date,value,logId
6/9/2022 5:34:00 PM,3,37299019776
6/9/2022 5:35:00 PM,3,37299019776
6/9/2022 5:36:00 PM,2,37299019776
6/9/2022 5:37:00 PM,1,37299019776
6/9/2022 5:38:00 PM,1,37299019776
6/9/2022 5:39:00 PM,1,37299019776
6/9/2022 5:40:00 PM,1,37299019776
6/9/2022 5:41:00 PM,1,37299019776
6/9/2022 5:42:00 PM,1,37299019776
6/9/2022 5:43:00 PM,1,37299019776
6/9/2022 5:44:00 PM,1,37299019776
6/9/2022 5:45:00 PM,1,37299019776
6/9/2022 5:46:00 PM,1,37299019776
6/9/2022 5:47:00 PM,1,37299019776
6/9/2022 5:48:00 PM,1,37299019776
6/9/2022 5:49:00 PM,1,37299019776
6/9/2022 5:50:00 PM,1,37299019776
6/9/2022 5:51:00 PM,1,37299019776
6/9/2022 5:52:00 PM,1,37299019776
6/9/2022 5:53:00 PM,1,37299019776
6/9/2022 5:54:00 PM,1,37299019776
6/9/2022 5:55:00 PM,1,37299019776
6/9/2022 5:56:00 PM,1,37299019776
6/9/2022 5:57:00 PM,2,37299019776
6/9/2022 5:58:00 PM,1,37299019776
6/9/2022 5:59:00 PM,1,37299019776
6/9/2022 6:00:00 PM,1,37299019776
6/9/2022 6:01:00 PM,2,37299019776
6/9/2022 6:02:00 PM,1,37299019776
6/9/2022 6:03:00 PM,1,37299019776
6/9/2022 6:04:00 PM,1,37299019776
6/9/2022 6:05:00 PM,1,37299019776
6/9/2022 6:06:00 PM,1,37299019776
6/9/2022 6:07:00 PM,1,37299019776
6/9/2022 6:08:00 PM,1,37299019776
6/9/2022 6:09:00 PM,1,37299019776
6/9/2022 6:10:00 PM,1,37299019776
6/9/2022 6:11:00 PM,1,37299019776
6/9/2022 6:12:00 PM,1,37299019776
6/9/2022 6:13:00 PM,1,37299019776
6/9/2022 6:14:00 PM,1,37299019776
6/9/2022 6:15:00 PM,1,37299019776
6/9/2022 6:16:00 PM,1,37299019776
6/9/2022 6:17:00 PM,1,37299019776
6/9/2022 6:18:00 PM,1,37299019776
6/9/2022 6:19:00 PM,1,37299019776
6/9/2022 6:20:00 PM,1,37299019776
6/9/2022 6:21:00 PM,1,37299019776
6/9/2022 6:22:00 PM,1,37299019776
